subclass,zoning,frontage,area,street,alley,shape,contour,utilities,config,slope,neighborhood,cond1,cond2,type,style,qual,cond,built,remo,roof_s,roof_m,ext1,ext2,veneer_t,veneer_a,ext_q,ext_c,foundation,bsmt_q,bsmt_c,bsmt_e,bsmt_t1,bsmt_sf1,bsmt_t2,bsmt_sft,heat,heat_qc,cent_air,electrical,1f_sf,2f_sf,grla_sf,bsmt_fullb,full_b,half_b,bed_abvgr,kit_qual,tot_room_abv,functional,fireplaces,garage_t,garage_fin,garage_cars,garage_a,garage_q,garage_c,paved_dr,wood_dk_sf,open_porch_sf,enclosed_porch,screen porch,pool_sq,month,sale_t,saleprice
60,RL,0.0,13517,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,725.0,GasA,Ex,Y,SBrkr,725,754,1479,0.0,2,1,3,Gd,6,Typ,0,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,3,WD ,130500
60,RL,43.0,11492,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,913.0,GasA,Ex,Y,SBrkr,913,1209,2122,1.0,2,1,4,Gd,8,Typ,1,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,4,WD ,220000
20,RL,68.0,7922,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,1057.0,GasA,TA,Y,SBrkr,1057,0,1057,1.0,1,0,3,Gd,5,Typ,0,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,1,WD ,109000
60,RL,73.0,9802,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,384.0,GasA,Gd,Y,SBrkr,744,700,1444,0.0,2,1,3,TA,7,Typ,0,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,4,WD ,174000
50,RL,82.0,14235,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,676.0,GasA,TA,Y,SBrkr,831,614,1445,0.0,2,0,3,TA,6,Typ,0,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,3,WD ,138500
20,RL,137.0,16492,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,1517.0,GasA,Ex,Y,SBrkr,1888,0,1888,0.0,2,1,2,Gd,6,Mod,1,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,6,WD ,190000
180,RM,35.0,3675,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,547.0,GasA,Gd,Y,SBrkr,1072,0,1072,1.0,2,0,2,TA,5,Typ,0,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,6,New,140000
20,RL,0.0,12160,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,1188.0,GasA,Fa,Y,SBrkr,1188,0,1188,1.0,1,0,3,TA,6,Typ,0,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,5,COD,142000
20,RL,0.0,15783,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,924.0,GasA,TA,Y,SBrkr,924,0,924,0.0,1,0,2,TA,6,Typ,0,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,6,WD ,112500
60,RL,70.0,11606,Pave,0,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,1040.0,GasA,TA,Y,SBrkr,1040,1040,2080,0.0,1,2,5,Fa,9,Typ,2,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,9,WD ,135000
